29-10-2022 20:00:28.101 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
29-10-2022 20:09:32.901 [main] INFO  search - Поиск - <автодержатель магнит>
29-10-2022 20:09:37.352 [main] INFO  search - Нашли 19 стр. за 4.435 сек.
29-10-2022 21:33:07.457 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 17576 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
29-10-2022 21:33:07.471 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - No active profile set, falling back to default profiles: default
29-10-2022 21:33:07.564 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
29-10-2022 21:33:07.564 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
29-10-2022 21:38:31.768 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 1560 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
29-10-2022 21:38:31.782 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - No active profile set, falling back to default profiles: default
29-10-2022 21:38:31.870 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
29-10-2022 21:38:31.870 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
29-10-2022 21:43:17.229 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 9348 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
29-10-2022 21:43:17.250 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - No active profile set, falling back to default profiles: default
29-10-2022 21:43:17.346 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
